id_venta,ciudad,tienda,categoria,producto,cantidad,precio_unitario
54,Bogotá,Tienda Norte,Hogar,Microondas,13,450000
55,Cartagena,Tienda Centro,Tecnología,Teclado,9,85000
56,Cali,Tienda Centro,Deportes,Bicicleta,8,1800000
57,Bogotá,Tienda Sur,Hogar,Licuadora,11,180000
58,Barranquilla,Tienda Sur,Tecnología,Portatil,15,2500000
59,Bogotá,Tienda Sur,Deportes,Guantes,3,65000
60,Cartagena,Tienda Occidente,Tecnología,Mouse,9,45000
61,Bogotá,Tienda Centro,Deportes,Balón,17,90000
62,Bogotá,Tienda Occidente,Tecnología,Impresora,2,600000
63,Medellín,Tienda Occidente,Tecnología,Teclado,4,85000
64,Barranquilla,Tienda Centro,Hogar,Microondas,2,450000
65,Cartagena,Tienda Sur,Deportes,Guantes,14,65000
66,Cartagena,Tienda Premium,Deportes,Bicicleta,9,1800000
67,Barranquilla,Tienda Norte,Hogar,Ventilador,19,250000
68,Barranquilla,Tienda Sur,Tecnología,Impresora,9,600000
69,Cartagena,Tienda Sur,Deportes,Bicicleta,16,1800000
70,Cartagena,Tienda Occidente,Tecnología,Impresora,12,600000
71,Barranquilla,Tienda Premium,Hogar,Ventilador,3,250000
72,Medellín,Tienda Sur,Hogar,Cafetera,6,120000
73,Medellín,Tienda Occidente,Tecnología,Monitor,6,750000
74,Bogotá,Tienda Centro,Deportes,Balón,14,90000
75,Medellín,Tienda Centro,Hogar,Cafetera,2,120000
76,Cali,Tienda Sur,Deportes,Pesas,14,250000
77,Cartagena,Tienda Norte,Hogar,Ventilador,3,250000
78,Medellín,Tienda Centro,Hogar,Nevera,6,2200000
79,Barranquilla,Tienda Centro,Deportes,Bicicleta,2,1800000
80,Cali,Tienda Premium,Hogar,Nevera,7,2200000
81,Bogotá,Tienda Sur,Hogar,Nevera,15,2200000
82,Barranquilla,Tienda Centro,Tecnología,Portatil,11,2500000
83,Cartagena,Tienda Occidente,Tecnología,Teclado,12,85000
84,Cali,Tienda Norte,Deportes,Pesas,19,250000
85,Medellín,Tienda Premium,Deportes,Balón,5,90000
86,Bogotá,Tienda Centro,Tecnología,Portatil,18,2500000
87,Barranquilla,Tienda Centro,Deportes,Pesas,6,250000
88,Cartagena,Tienda Occidente,Tecnología,Portatil,5,2500000
89,Bogotá,Tienda Occidente,Deportes,Pesas,7,250000
90,Bogotá,Tienda Sur,Hogar,Cafetera,13,120000
91,Bogotá,Tienda Occidente,Tecnología,Impresora,4,600000
92,Medellín,Tienda Sur,Hogar,Cafetera,19,120000
93,Bogotá,Tienda Premium,Hogar,Microondas,8,450000
94,Medellín,Tienda Premium,Tecnología,Portatil,1,2500000
95,Bogotá,Tienda Norte,Deportes,Guantes,6,65000
96,Medellín,Tienda Norte,Deportes,Balón,2,90000
97,Medellín,Tienda Centro,Deportes,Pesas,18,250000
98,Bogotá,Tienda Premium,Tecnología,Monitor,17,750000
99,Cartagena,Tienda Norte,Hogar,Ventilador,6,250000
100,Barranquilla,Tienda Sur,Deportes,Caminadora,2,3200000
101,Cali,Tienda Sur,Tecnología,Portatil,10,2500000
102,Cartagena,Tienda Premium,Hogar,Licuadora,3,180000
103,Bogotá,Tienda Occidente,Tecnología,Monitor,16,750000
104,Barranquilla,Tienda Norte,Hogar,Licuadora,20,180000
105,Medellín,Tienda Sur,Deportes,Balón,19,90000
106,Cali,Tienda Occidente,Deportes,Bicicleta,18,1800000
107,Bogotá,Tienda Premium,Deportes,Guantes,19,65000
108,Cali,Tienda Norte,Deportes,Guantes,17,65000
109,Cali,Tienda Premium,Tecnología,Mouse,9,45000
110,Bogotá,Tienda Occidente,Hogar,Cafetera,2,120000
111,Cartagena,Tienda Occidente,Tecnología,Monitor,2,750000
112,Cartagena,Tienda Occidente,Tecnología,Mouse,9,45000
113,Cali,Tienda Occidente,Deportes,Caminadora,11,3200000
114,Cartagena,Tienda Centro,Hogar,Licuadora,4,180000
115,Barranquilla,Tienda Norte,Deportes,Guantes,13,65000
116,Cartagena,Tienda Norte,Hogar,Cafetera,11,120000
117,Cartagena,Tienda Sur,Hogar,Ventilador,13,250000
118,Cartagena,Tienda Centro,Hogar,Cafetera,13,120000
119,Medellín,Tienda Norte,Hogar,Licuadora,11,180000
120,Medellín,Tienda Centro,Deportes,Caminadora,15,3200000
121,Bogotá,Tienda Premium,Hogar,Ventilador,4,250000
122,Cartagena,Tienda Occidente,Deportes,Pesas,4,250000
123,Medellín,Tienda Sur,Deportes,Pesas,18,250000
124,Cali,Tienda Premium,Deportes,Pesas,15,250000
125,Medellín,Tienda Sur,Tecnología,Impresora,14,600000
126,Cartagena,Tienda Sur,Tecnología,Teclado,4,85000
127,Medellín,Tienda Premium,Deportes,Caminadora,6,3200000
128,Barranquilla,Tienda Centro,Hogar,Cafetera,8,120000
129,Cartagena,Tienda Centro,Deportes,Guantes,12,65000
130,Cartagena,Tienda Centro,Tecnología,Portatil,3,2500000
131,Cali,Tienda Occidente,Deportes,Caminadora,16,3200000
132,Cali,Tienda Premium,Hogar,Licuadora,18,180000
133,Cali,Tienda Centro,Tecnología,Portatil,14,2500000
134,Medellín,Tienda Occidente,Deportes,Bicicleta,1,1800000
135,Cartagena,Tienda Occidente,Hogar,Nevera,8,2200000
136,Cartagena,Tienda Norte,Tecnología,Impresora,4,600000
137,Bogotá,Tienda Centro,Hogar,Nevera,12,2200000
138,Medellín,Tienda Occidente,Tecnología,Teclado,7,85000
139,Cali,Tienda Occidente,Hogar,Licuadora,6,180000
140,Cali,Tienda Centro,Tecnología,Mouse,16,45000
141,Cali,Tienda Centro,Deportes,Balón,13,90000
142,Barranquilla,Tienda Norte,Tecnología,Mouse,19,45000
143,Cali,Tienda Centro,Tecnología,Monitor,2,750000
144,Barranquilla,Tienda Sur,Deportes,Pesas,6,250000
145,Barranquilla,Tienda Sur,Tecnología,Impresora,20,600000
146,Cartagena,Tienda Sur,Tecnología,Portatil,7,2500000
147,Barranquilla,Tienda Sur,Deportes,Bicicleta,11,1800000
148,Bogotá,Tienda Occidente,Hogar,Microondas,10,450000
149,Bogotá,Tienda Sur,Tecnología,Mouse,11,45000
150,Cartagena,Tienda Premium,Tecnología,Mouse,12,45000
151,Medellín,Tienda Occidente,Deportes,Pesas,1,250000
152,Bogotá,Tienda Centro,Deportes,Balón,14,90000
153,Cali,Tienda Premium,Tecnología,Teclado,17,85000
154,Medellín,Tienda Sur,Hogar,Nevera,7,2200000
155,Medellín,Tienda Premium,Deportes,Guantes,20,65000
156,Cartagena,Tienda Centro,Hogar,Nevera,19,2200000
157,Cartagena,Tienda Centro,Deportes,Pesas,7,250000
158,Cali,Tienda Premium,Tecnología,Mouse,5,45000
159,Cali,Tienda Centro,Tecnología,Teclado,2,85000
160,Barranquilla,Tienda Centro,Tecnología,Impresora,1,600000
161,Cartagena,Tienda Premium,Tecnología,Mouse,1,45000
162,Bogotá,Tienda Centro,Deportes,Caminadora,14,3200000
163,Cartagena,Tienda Centro,Tecnología,Impresora,17,600000
164,Cartagena,Tienda Premium,Hogar,Microondas,3,450000
165,Cartagena,Tienda Premium,Deportes,Bicicleta,19,1800000
166,Bogotá,Tienda Sur,Tecnología,Portatil,9,2500000
167,Cartagena,Tienda Premium,Tecnología,Portatil,10,2500000
168,Cartagena,Tienda Sur,Deportes,Guantes,15,65000
169,Bogotá,Tienda Occidente,Deportes,Guantes,18,65000
170,Medellín,Tienda Occidente,Deportes,Balón,16,90000
171,Barranquilla,Tienda Sur,Tecnología,Impresora,18,600000
172,Cartagena,Tienda Norte,Hogar,Microondas,13,450000
173,Cali,Tienda Sur,Tecnología,Monitor,10,750000
174,Medellín,Tienda Occidente,Deportes,Balón,10,90000
175,Barranquilla,Tienda Occidente,Tecnología,Impresora,13,600000
176,Cali,Tienda Sur,Deportes,Guantes,8,65000
177,Medellín,Tienda Occidente,Deportes,Balón,1,90000
178,Medellín,Tienda Sur,Hogar,Ventilador,8,250000
179,Medellín,Tienda Sur,Deportes,Pesas,17,250000
180,Medellín,Tienda Sur,Tecnología,Mouse,13,45000
181,Bogotá,Tienda Centro,Hogar,Microondas,3,450000
182,Cartagena,Tienda Premium,Deportes,Guantes,12,65000
183,Bogotá,Tienda Sur,Hogar,Nevera,8,2200000
184,Bogotá,Tienda Occidente,Hogar,Microondas,14,450000
185,Barranquilla,Tienda Centro,Hogar,Cafetera,14,120000
186,Bogotá,Tienda Norte,Tecnología,Mouse,6,45000
187,Cartagena,Tienda Sur,Deportes,Balón,13,90000
188,Cali,Tienda Centro,Deportes,Balón,12,90000
189,Barranquilla,Tienda Norte,Tecnología,Teclado,3,85000
190,Cartagena,Tienda Norte,Hogar,Cafetera,6,120000
191,Cartagena,Tienda Norte,Tecnología,Impresora,14,600000
192,Cartagena,Tienda Norte,Tecnología,Mouse,10,45000
193,Cartagena,Tienda Norte,Tecnología,Impresora,16,600000
194,Medellín,Tienda Sur,Hogar,Ventilador,19,250000
195,Bogotá,Tienda Occidente,Deportes,Bicicleta,3,1800000
196,Barranquilla,Tienda Centro,Hogar,Licuadora,1,180000
197,Cartagena,Tienda Centro,Hogar,Cafetera,17,120000
198,Barranquilla,Tienda Premium,Hogar,Microondas,2,450000
199,Medellín,Tienda Norte,Tecnología,Impresora,17,600000
200,Barranquilla,Tienda Norte,Deportes,Bicicleta,18,1800000
201,Medellín,Tienda Centro,Deportes,Bicicleta,20,1800000
202,Bogotá,Tienda Occidente,Hogar,Cafetera,16,120000
203,Barranquilla,Tienda Sur,Hogar,Nevera,15,2200000
204,Cali,Tienda Centro,Tecnología,Teclado,19,85000
205,Cartagena,Tienda Centro,Tecnología,Teclado,16,85000
206,Medellín,Tienda Occidente,Tecnología,Monitor,16,750000
207,Barranquilla,Tienda Norte,Hogar,Nevera,18,2200000
208,Cali,Tienda Centro,Tecnología,Impresora,3,600000
209,Cartagena,Tienda Sur,Hogar,Microondas,3,450000
210,Barranquilla,Tienda Norte,Tecnología,Teclado,5,85000
211,Barranquilla,Tienda Premium,Deportes,Balón,13,90000
212,Medellín,Tienda Occidente,Hogar,Licuadora,11,180000
213,Cali,Tienda Centro,Hogar,Ventilador,12,250000
214,Cali,Tienda Centro,Tecnología,Mouse,15,45000
215,Cali,Tienda Sur,Deportes,Bicicleta,13,1800000
216,Bogotá,Tienda Premium,Deportes,Caminadora,7,3200000
217,Barranquilla,Tienda Premium,Deportes,Caminadora,1,3200000
218,Medellín,Tienda Sur,Deportes,Balón,13,90000
219,Medellín,Tienda Sur,Tecnología,Monitor,11,750000
220,Bogotá,Tienda Occidente,Hogar,Cafetera,16,120000
221,Bogotá,Tienda Norte,Deportes,Balón,1,90000
222,Cali,Tienda Norte,Deportes,Pesas,7,250000
223,Bogotá,Tienda Sur,Deportes,Guantes,7,65000
224,Medellín,Tienda Premium,Tecnología,Impresora,15,600000
225,Bogotá,Tienda Centro,Deportes,Guantes,9,65000
226,Cartagena,Tienda Sur,Hogar,Nevera,13,2200000
227,Barranquilla,Tienda Centro,Hogar,Cafetera,13,120000
228,Cartagena,Tienda Occidente,Deportes,Caminadora,12,3200000
229,Medellín,Tienda Premium,Tecnología,Portatil,7,2500000
230,Cartagena,Tienda Norte,Tecnología,Mouse,15,45000
231,Medellín,Tienda Sur,Tecnología,Portatil,19,2500000
232,Medellín,Tienda Sur,Deportes,Bicicleta,18,1800000
233,Cali,Tienda Premium,Deportes,Caminadora,14,3200000
234,Cali,Tienda Sur,Hogar,Cafetera,5,120000
235,Barranquilla,Tienda Premium,Hogar,Cafetera,6,120000
236,Bogotá,Tienda Norte,Hogar,Nevera,1,2200000
237,Cali,Tienda Centro,Hogar,Microondas,17,450000
238,Cali,Tienda Occidente,Hogar,Licuadora,19,180000
239,Barranquilla,Tienda Occidente,Tecnología,Teclado,10,85000
240,Cartagena,Tienda Centro,Deportes,Guantes,6,65000
241,Medellín,Tienda Centro,Deportes,Pesas,4,250000
242,Cali,Tienda Norte,Tecnología,Monitor,8,750000
243,Cartagena,Tienda Centro,Tecnología,Mouse,20,45000
244,Cali,Tienda Centro,Hogar,Ventilador,12,250000
245,Cartagena,Tienda Norte,Hogar,Licuadora,16,180000
246,Barranquilla,Tienda Premium,Hogar,Licuadora,19,180000
247,Cali,Tienda Sur,Tecnología,Teclado,5,85000
248,Barranquilla,Tienda Norte,Deportes,Balón,14,90000
249,Medellín,Tienda Sur,Tecnología,Portatil,17,2500000
250,Barranquilla,Tienda Premium,Tecnología,Teclado,3,85000
251,Cali,Tienda Premium,Tecnología,Mouse,14,45000
252,Cali,Tienda Centro,Hogar,Microondas,15,450000
253,Bogotá,Tienda Centro,Deportes,Caminadora,3,3200000
254,Bogotá,Tienda Occidente,Tecnología,Portatil,18,2500000
255,Barranquilla,Tienda Centro,Deportes,Bicicleta,4,1800000
256,Barranquilla,Tienda Sur,Tecnología,Teclado,20,85000
257,Cali,Tienda Occidente,Tecnología,Monitor,7,750000
258,Cartagena,Tienda Norte,Deportes,Bicicleta,14,1800000
259,Barranquilla,Tienda Premium,Hogar,Cafetera,19,120000
260,Barranquilla,Tienda Occidente,Deportes,Bicicleta,10,1800000
261,Barranquilla,Tienda Occidente,Deportes,Balón,4,90000
262,Barranquilla,Tienda Premium,Hogar,Microondas,18,450000
263,Barranquilla,Tienda Sur,Deportes,Pesas,8,250000
264,Barranquilla,Tienda Norte,Tecnología,Monitor,1,750000
265,Medellín,Tienda Norte,Deportes,Balón,18,90000
266,Bogotá,Tienda Sur,Deportes,Balón,4,90000
267,Barranquilla,Tienda Norte,Deportes,Caminadora,19,3200000
268,Cali,Tienda Centro,Tecnología,Monitor,14,750000
269,Barranquilla,Tienda Premium,Tecnología,Impresora,16,600000
270,Cali,Tienda Premium,Deportes,Balón,2,90000
271,Cartagena,Tienda Norte,Tecnología,Monitor,10,750000
272,Bogotá,Tienda Norte,Tecnología,Teclado,7,85000
273,Cali,Tienda Premium,Tecnología,Monitor,8,750000
274,Medellín,Tienda Premium,Deportes,Guantes,7,65000
275,Bogotá,Tienda Norte,Tecnología,Mouse,18,45000
276,Cali,Tienda Norte,Deportes,Pesas,15,250000
277,Medellín,Tienda Sur,Hogar,Microondas,5,450000
278,Barranquilla,Tienda Centro,Tecnología,Monitor,2,750000
279,Medellín,Tienda Occidente,Tecnología,Impresora,18,600000
280,Cali,Tienda Sur,Deportes,Bicicleta,4,1800000
281,Cartagena,Tienda Norte,Tecnología,Monitor,12,750000
282,Cali,Tienda Occidente,Tecnología,Monitor,5,750000
283,Cali,Tienda Norte,Hogar,Nevera,1,2200000
284,Cartagena,Tienda Sur,Deportes,Pesas,18,250000
285,Medellín,Tienda Premium,Tecnología,Mouse,20,45000
286,Cali,Tienda Premium,Tecnología,Mouse,16,45000
287,Barranquilla,Tienda Occidente,Hogar,Microondas,13,450000
288,Medellín,Tienda Centro,Hogar,Microondas,14,450000
289,Bogotá,Tienda Norte,Tecnología,Impresora,1,600000
290,Cartagena,Tienda Norte,Deportes,Bicicleta,6,1800000
291,Medellín,Tienda Occidente,Deportes,Guantes,14,65000
292,Barranquilla,Tienda Occidente,Deportes,Guantes,3,65000
293,Barranquilla,Tienda Norte,Hogar,Ventilador,17,250000
294,Cartagena,Tienda Centro,Hogar,Nevera,19,2200000
295,Barranquilla,Tienda Centro,Hogar,Microondas,20,450000
296,Barranquilla,Tienda Premium,Tecnología,Impresora,14,600000
297,Barranquilla,Tienda Premium,Deportes,Balón,16,90000
298,Barranquilla,Tienda Centro,Deportes,Balón,12,90000
299,Bogotá,Tienda Sur,Deportes,Bicicleta,11,1800000
300,Medellín,Tienda Norte,Hogar,Ventilador,10,250000
301,Barranquilla,Tienda Norte,Hogar,Ventilador,12,250000
302,Cartagena,Tienda Centro,Tecnología,Teclado,4,85000
303,Barranquilla,Tienda Occidente,Hogar,Cafetera,6,120000
304,Cali,Tienda Sur,Tecnología,Monitor,4,750000
305,Bogotá,Tienda Norte,Deportes,Pesas,19,250000
306,Cartagena,Tienda Sur,Hogar,Microondas,9,450000
307,Bogotá,Tienda Occidente,Hogar,Nevera,8,2200000
308,Cartagena,Tienda Norte,Hogar,Ventilador,5,250000
309,Bogotá,Tienda Occidente,Hogar,Licuadora,15,180000
310,Cartagena,Tienda Sur,Tecnología,Teclado,2,85000
311,Cali,Tienda Premium,Tecnología,Mouse,8,45000
312,Cartagena,Tienda Sur,Hogar,Ventilador,9,250000
313,Barranquilla,Tienda Sur,Tecnología,Teclado,11,85000
314,Bogotá,Tienda Premium,Hogar,Nevera,11,2200000
315,Barranquilla,Tienda Occidente,Tecnología,Portatil,1,2500000
316,Barranquilla,Tienda Sur,Hogar,Cafetera,1,120000
317,Bogotá,Tienda Sur,Tecnología,Portatil,3,2500000
318,Cali,Tienda Premium,Deportes,Pesas,7,250000
319,Bogotá,Tienda Centro,Deportes,Balón,5,90000
320,Cartagena,Tienda Occidente,Tecnología,Monitor,3,750000
321,Barranquilla,Tienda Occidente,Tecnología,Mouse,5,45000
322,Medellín,Tienda Premium,Hogar,Microondas,11,450000
323,Cali,Tienda Premium,Hogar,Nevera,8,2200000
324,Cali,Tienda Occidente,Hogar,Microondas,20,450000
325,Medellín,Tienda Centro,Tecnología,Portatil,13,2500000
326,Bogotá,Tienda Sur,Hogar,Ventilador,4,250000
327,Bogotá,Tienda Premium,Deportes,Pesas,2,250000
328,Cali,Tienda Premium,Hogar,Cafetera,1,120000
329,Barranquilla,Tienda Premium,Deportes,Guantes,4,65000
330,Bogotá,Tienda Centro,Deportes,Balón,4,90000
331,Bogotá,Tienda Occidente,Deportes,Balón,13,90000
332,Cartagena,Tienda Sur,Deportes,Bicicleta,16,1800000
333,Bogotá,Tienda Sur,Hogar,Nevera,3,2200000
334,Medellín,Tienda Premium,Tecnología,Teclado,20,85000
335,Cartagena,Tienda Centro,Deportes,Pesas,20,250000
336,Bogotá,Tienda Sur,Deportes,Guantes,20,65000
337,Cartagena,Tienda Norte,Hogar,Cafetera,7,120000
338,Medellín,Tienda Premium,Deportes,Balón,3,90000
339,Bogotá,Tienda Norte,Hogar,Microondas,9,450000
340,Barranquilla,Tienda Occidente,Tecnología,Monitor,6,750000
341,Bogotá,Tienda Sur,Hogar,Cafetera,12,120000
342,Bogotá,Tienda Premium,Deportes,Balón,9,90000
343,Barranquilla,Tienda Sur,Deportes,Caminadora,12,3200000
344,Barranquilla,Tienda Centro,Deportes,Caminadora,12,3200000
345,Cartagena,Tienda Premium,Tecnología,Impresora,6,600000
346,Cali,Tienda Occidente,Hogar,Nevera,10,2200000
347,Bogotá,Tienda Norte,Deportes,Pesas,19,250000
348,Barranquilla,Tienda Occidente,Tecnología,Mouse,18,45000
349,Barranquilla,Tienda Centro,Deportes,Pesas,12,250000
350,Cartagena,Tienda Centro,Hogar,Ventilador,8,250000
351,Medellín,Tienda Premium,Tecnología,Monitor,15,750000
352,Cartagena,Tienda Norte,Hogar,Ventilador,8,250000
353,Bogotá,Tienda Sur,Tecnología,Portatil,10,2500000
354,Bogotá,Tienda Centro,Tecnología,Portatil,7,2500000
355,Medellín,Tienda Sur,Deportes,Balón,9,90000
356,Medellín,Tienda Centro,Hogar,Cafetera,3,120000
357,Medellín,Tienda Occidente,Deportes,Bicicleta,4,1800000
358,Medellín,Tienda Occidente,Deportes,Bicicleta,7,1800000
359,Cartagena,Tienda Norte,Tecnología,Portatil,16,2500000
360,Bogotá,Tienda Sur,Tecnología,Monitor,9,750000
361,Bogotá,Tienda Norte,Hogar,Nevera,5,2200000
362,Cartagena,Tienda Occidente,Tecnología,Monitor,2,750000
363,Bogotá,Tienda Premium,Deportes,Caminadora,10,3200000
364,Barranquilla,Tienda Centro,Deportes,Guantes,2,65000
365,Cali,Tienda Occidente,Deportes,Guantes,18,65000
366,Cartagena,Tienda Sur,Deportes,Caminadora,18,3200000
367,Barranquilla,Tienda Centro,Deportes,Bicicleta,18,1800000
368,Medellín,Tienda Occidente,Deportes,Caminadora,1,3200000
369,Medellín,Tienda Centro,Hogar,Licuadora,15,180000
370,Cartagena,Tienda Premium,Hogar,Microondas,8,450000
371,Bogotá,Tienda Premium,Deportes,Bicicleta,15,1800000
372,Bogotá,Tienda Norte,Hogar,Microondas,4,450000
373,Barranquilla,Tienda Sur,Tecnología,Monitor,8,750000
374,Barranquilla,Tienda Occidente,Hogar,Licuadora,7,180000
375,Cali,Tienda Premium,Hogar,Licuadora,11,180000
376,Bogotá,Tienda Norte,Tecnología,Teclado,1,85000
377,Cali,Tienda Norte,Deportes,Guantes,14,65000
378,Medellín,Tienda Centro,Hogar,Nevera,12,2200000
379,Cartagena,Tienda Norte,Deportes,Balón,19,90000
380,Medellín,Tienda Centro,Hogar,Ventilador,7,250000
381,Cali,Tienda Occidente,Deportes,Caminadora,15,3200000
382,Cartagena,Tienda Norte,Tecnología,Portatil,18,2500000
383,Medellín,Tienda Premium,Tecnología,Mouse,4,45000
384,Cartagena,Tienda Occidente,Deportes,Pesas,6,250000
385,Medellín,Tienda Centro,Deportes,Guantes,15,65000
386,Barranquilla,Tienda Sur,Hogar,Ventilador,3,250000
387,Cali,Tienda Norte,Hogar,Licuadora,13,180000
388,Cartagena,Tienda Sur,Tecnología,Teclado,3,85000
389,Medellín,Tienda Premium,Hogar,Nevera,12,2200000
390,Cartagena,Tienda Premium,Hogar,Licuadora,11,180000
391,Medellín,Tienda Centro,Tecnología,Monitor,15,750000
392,Bogotá,Tienda Norte,Hogar,Ventilador,2,250000
393,Cartagena,Tienda Norte,Hogar,Nevera,12,2200000
394,Cartagena,Tienda Occidente,Hogar,Licuadora,15,180000
395,Cali,Tienda Centro,Hogar,Microondas,2,450000
396,Bogotá,Tienda Occidente,Hogar,Cafetera,12,120000
397,Barranquilla,Tienda Premium,Tecnología,Portatil,11,2500000
398,Medellín,Tienda Sur,Deportes,Caminadora,1,3200000
399,Cartagena,Tienda Norte,Deportes,Guantes,15,65000
400,Barranquilla,Tienda Norte,Tecnología,Teclado,2,85000
401,Bogotá,Tienda Sur,Tecnología,Portatil,16,2500000
402,Bogotá,Tienda Premium,Tecnología,Impresora,9,600000
403,Medellín,Tienda Centro,Tecnología,Monitor,7,750000
404,Barranquilla,Tienda Sur,Tecnología,Impresora,14,600000
405,Medellín,Tienda Sur,Hogar,Cafetera,12,120000
406,Medellín,Tienda Occidente,Hogar,Cafetera,1,120000
407,Barranquilla,Tienda Occidente,Tecnología,Monitor,2,750000
408,Cali,Tienda Premium,Hogar,Ventilador,4,250000
409,Medellín,Tienda Premium,Hogar,Nevera,13,2200000
410,Cali,Tienda Centro,Hogar,Ventilador,6,250000
411,Bogotá,Tienda Sur,Deportes,Bicicleta,12,1800000
412,Medellín,Tienda Premium,Hogar,Ventilador,19,250000
413,Cali,Tienda Centro,Tecnología,Teclado,20,85000
414,Barranquilla,Tienda Centro,Hogar,Ventilador,17,250000
415,Cartagena,Tienda Centro,Tecnología,Portatil,2,2500000
416,Cali,Tienda Sur,Deportes,Guantes,1,65000
417,Medellín,Tienda Centro,Deportes,Caminadora,9,3200000
418,Cali,Tienda Premium,Tecnología,Portatil,4,2500000
419,Medellín,Tienda Centro,Deportes,Pesas,11,250000
420,Cali,Tienda Centro,Hogar,Cafetera,5,120000
421,Medellín,Tienda Norte,Deportes,Guantes,4,65000
422,Cartagena,Tienda Premium,Tecnología,Teclado,5,85000
423,Cartagena,Tienda Centro,Deportes,Guantes,7,65000
424,Medellín,Tienda Occidente,Deportes,Pesas,19,250000
425,Cali,Tienda Occidente,Deportes,Caminadora,1,3200000
426,Cali,Tienda Occidente,Deportes,Guantes,18,65000
427,Barranquilla,Tienda Centro,Hogar,Licuadora,3,180000
428,Cali,Tienda Norte,Deportes,Bicicleta,7,1800000
429,Cartagena,Tienda Centro,Hogar,Microondas,2,450000
430,Barranquilla,Tienda Centro,Deportes,Pesas,9,250000
431,Bogotá,Tienda Occidente,Tecnología,Portatil,16,2500000
432,Cali,Tienda Centro,Deportes,Pesas,14,250000
433,Bogotá,Tienda Norte,Tecnología,Teclado,4,85000
434,Cartagena,Tienda Norte,Hogar,Ventilador,10,250000
435,Cartagena,Tienda Premium,Tecnología,Mouse,4,45000
436,Bogotá,Tienda Sur,Hogar,Microondas,11,450000
437,Cali,Tienda Sur,Hogar,Cafetera,17,120000
438,Medellín,Tienda Centro,Deportes,Balón,3,90000
439,Bogotá,Tienda Centro,Tecnología,Portatil,14,2500000
